大陆三网 IPv4 单线程测速，v2023-09-04
“联通/电信 宿迁”为自建节点，带宽在800Mbps左右
speedtest-go  ,电信 天津           ,--custom-url http://tjrate.tjtele.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,电信 甘肃兰州       ,--custom-url http://speed.bajianjun.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,电信 四川成都       ,--custom-url http://speedtest1.sc.189.cn:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,电信 安徽合肥 5G    ,--custom-url http://speedtest1.ah163.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,电信 浙江宁波 5G    ,--custom-url http://cesu-nb.zjtelecom.com.cn:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,电信 江苏镇江 5G    ,--custom-url http://5gzhenjiang.speedtest.jsinfo.net:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,电信 江苏连云港 5G  ,--custom-url http://4glianyungang1.speedtest.jsinfo.net:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,移动 北京           ,--custom-url http://speedtest.bmcc.com.cn:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,移动 四川成都       ,--custom-url http://speedtest1.sc.chinamobile.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,移动 河南郑州 5G    ,--custom-url http://speedtest.eastcom.site:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,移动 浙江杭州 5G    ,--custom-url http://speedtest.139play.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,移动 陕西西安 5G    ,--custom-url http://speedtest.one-punch.win:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,联通 江苏无锡       ,--custom-url https://speedtest2.niutk.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,联通 四川成都       ,--custom-url http://speedtest.cnscn96655.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,联通 福建福州       ,--custom-url http://upload1.testspeed.cdn16.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,联通 辽宁沈阳       ,--custom-url http://unicomspeedtest.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,联通 海南三亚       ,--custom-url http://hin-sanya1.netcute.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,联通 湖南长沙 5G    ,--custom-url http://speedtest01.hn165.com:8080/speedtest/upload.php --force-http-ping -t 1
speedtest-go  ,联通 河南郑州 5G    ,--custom-url http://5gtest.shangdu.com:8080/speedtest/upload.php --force-http-ping -t 1
iperf3        ,联通/电信 宿迁      ,-c 103.239.244.210 -p 22222 -O 3 -P 1
